id, address, lat, lng, voltage
166, address 166, 39.647, -79.923, 0
167, address 167, 39.648, -79.923, 0
168, address 168, 39.649, -79.923, 0
169, address 169, 39.65, -79.923, 0
170, address 170, 39.651, -79.923, 0
171, address 171, 39.652, -79.923, 0
172, address 172, 39.653, -79.923, 0
173, address 173, 39.654, -79.923, 0
174, address 174, 39.655, -79.923, 0
175, address 175, 39.656, -79.923, 0
176, address 176, 39.657, -79.923, 0
177, address 177, 39.658, -79.923, 0
178, address 178, 39.659, -79.923, 0
179, address 179, 39.66, -79.923, 0
180, address 180, 39.661, -79.923, 0
181, address 181, 39.617, -79.924, 0
182, address 182, 39.618, -79.924, 0
183, address 183, 39.619, -79.924, 0
184, address 184, 39.62, -79.924, 0
185, address 185, 39.621, -79.924, 0
186, address 186, 39.622, -79.924, 0
187, address 187, 39.623, -79.924, 0
188, address 188, 39.624, -79.924, 0
189, address 189, 39.625, -79.924, 0
190, address 190, 39.626, -79.924, 0
191, address 191, 39.627, -79.924, 0
192, address 192, 39.628, -79.924, 0
193, address 193, 39.629, -79.924, 0
194, address 194, 39.63, -79.924, 0
195, address 195, 39.631, -79.924, 0
196, address 196, 39.632, -79.924, 0
197, address 197, 39.633, -79.924, 0
198, address 198, 39.634, -79.924, 0
199, address 199, 39.635, -79.924, 0
200, address 200, 39.636, -79.924, 0
201, address 201, 39.637, -79.924, 0
202, address 202, 39.638, -79.924, 0
203, address 203, 39.639, -79.924, 0
204, address 204, 39.64, -79.924, 0
205, address 205, 39.641, -79.924, 0
206, address 206, 39.642, -79.924, 0
207, address 207, 39.643, -79.924, 0
208, address 208, 39.644, -79.924, 0
209, address 209, 39.645, -79.924, 0
210, address 210, 39.646, -79.924, 0
211, address 211, 39.647, -79.924, 0
212, address 212, 39.648, -79.924, 0
213, address 213, 39.649, -79.924, 0
214, address 214, 39.65, -79.924, 0
215, address 215, 39.651, -79.924, 0
216, address 216, 39.652, -79.924, 0
217, address 217, 39.653, -79.924, 0
218, address 218, 39.654, -79.924, 0
219, address 219, 39.655, -79.924, 0
220, address 220, 39.656, -79.924, 0
221, address 221, 39.657, -79.924, 0
222, address 222, 39.658, -79.924, 0
223, address 223, 39.659, -79.924, 0
224, address 224, 39.66, -79.924, 0
225, address 225, 39.661, -79.924, 0
226, address 226, 39.617, -79.925, 0
227, address 227, 39.618, -79.925, 0
228, address 228, 39.619, -79.925, 0
229, address 229, 39.62, -79.925, 0
230, address 230, 39.621, -79.925, 0
231, address 231, 39.622, -79.925, 0
232, address 232, 39.623, -79.925, 0
233, address 233, 39.624, -79.925, 0
234, address 234, 39.625, -79.925, 0
235, address 235, 39.626, -79.925, 0
236, address 236, 39.627, -79.925, 0
237, address 237, 39.628, -79.925, 0
238, address 238, 39.629, -79.925, 0
239, address 239, 39.63, -79.925, 0
240, address 240, 39.631, -79.925, 0
241, address 241, 39.632, -79.925, 0
242, address 242, 39.633, -79.925, 0
243, address 243, 39.634, -79.925, 0
244, address 244, 39.635, -79.925, 0
245, address 245, 39.636, -79.925, 0
246, address 246, 39.637, -79.925, 0
247, address 247, 39.638, -79.925, 0
248, address 248, 39.639, -79.925, 0
249, address 249, 39.64, -79.925, 0
250, address 250, 39.641, -79.925, 0
251, address 251, 39.642, -79.925, 0
252, address 252, 39.643, -79.925, 0
253, address 253, 39.644, -79.925, 0
254, address 254, 39.645, -79.925, 0
255, address 255, 39.646, -79.925, 0
256, address 256, 39.647, -79.925, 0
257, address 257, 39.648, -79.925, 0
258, address 258, 39.649, -79.925, 0
259, address 259, 39.65, -79.925, 0
260, address 260, 39.651, -79.925, 0
261, address 261, 39.652, -79.925, 0
262, address 262, 39.653, -79.925, 0
263, address 263, 39.654, -79.925, 0
264, address 264, 39.655, -79.925, 0
265, address 265, 39.656, -79.925, 0
266, address 266, 39.657, -79.925, 0
267, address 267, 39.658, -79.925, 0
268, address 268, 39.659, -79.925, 0
269, address 269, 39.66, -79.925, 0
270, address 270, 39.661, -79.925, 0
271, address 271, 39.617, -79.926, 0
272, address 272, 39.618, -79.926, 0
273, address 273, 39.619, -79.926, 0
274, address 274, 39.62, -79.926, 0
275, address 275, 39.621, -79.926, 0
276, address 276, 39.622, -79.926, 0
277, address 277, 39.623, -79.926, 0
278, address 278, 39.624, -79.926, 0
279, address 279, 39.625, -79.926, 0
280, address 280, 39.626, -79.926, 0
281, address 281, 39.627, -79.926, 0
282, address 282, 39.628, -79.926, 0
283, address 283, 39.629, -79.926, 0
284, address 284, 39.63, -79.926, 0
285, address 285, 39.631, -79.926, 0
286, address 286, 39.632, -79.926, 0
287, address 287, 39.633, -79.926, 0
288, address 288, 39.634, -79.926, 0
289, address 289, 39.635, -79.926, 0
290, address 290, 39.636, -79.926, 0
291, address 291, 39.637, -79.926, 0
292, address 292, 39.638, -79.926, 0
293, address 293, 39.639, -79.926, 0
294, address 294, 39.64, -79.926, 0
295, address 295, 39.641, -79.926, 0
296, address 296, 39.642, -79.926, 0
297, address 297, 39.643, -79.926, 0
298, address 298, 39.644, -79.926, 0
299, address 299, 39.645, -79.926, 0
300, address 300, 39.646, -79.926, 0
301, address 301, 39.647, -79.926, 0
302, address 302, 39.648, -79.926, 0
303, address 303, 39.649, -79.926, 0
304, address 304, 39.65, -79.926, 0
305, address 305, 39.651, -79.926, 0
306, address 306, 39.652, -79.926, 0
307, address 307, 39.653, -79.926, 0
308, address 308, 39.654, -79.926, 0
309, address 309, 39.655, -79.926, 0
310, address 310, 39.656, -79.926, 0
311, address 311, 39.657, -79.926, 0
312, address 312, 39.658, -79.926, 0
313, address 313, 39.659, -79.926, 0
314, address 314, 39.66, -79.926, 0
315, address 315, 39.661, -79.926, 0
316, address 316, 39.617, -79.927, 0
317, address 317, 39.618, -79.927, 0
318, address 318, 39.619, -79.927, 0
319, address 319, 39.62, -79.927, 0
320, address 320, 39.621, -79.927, 0
321, address 321, 39.622, -79.927, 0
322, address 322, 39.623, -79.927, 0
323, address 323, 39.624, -79.927, 0
324, address 324, 39.625, -79.927, 0
325, address 325, 39.626, -79.927, 0
326, address 326, 39.627, -79.927, 0
327, address 327, 39.628, -79.927, 0
328, address 328, 39.629, -79.927, 0
329, address 329, 39.63, -79.927, 0
330, address 330, 39.631, -79.927, 0
331, address 331, 39.632, -79.927, 0
332, address 332, 39.633, -79.927, 0
333, address 333, 39.634, -79.927, 0
334, address 334, 39.635, -79.927, 0
335, address 335, 39.636, -79.927, 0
336, address 336, 39.637, -79.927, 0
337, address 337, 39.638, -79.927, 0
338, address 338, 39.639, -79.927, 0
339, address 339, 39.64, -79.927, 0
340, address 340, 39.641, -79.927, 0
341, address 341, 39.642, -79.927, 0
342, address 342, 39.643, -79.927, 0
343, address 343, 39.644, -79.927, 0
344, address 344, 39.645, -79.927, 0
345, address 345, 39.646, -79.927, 0
346, address 346, 39.647, -79.927, 0
347, address 347, 39.648, -79.927, 0
348, address 348, 39.649, -79.927, 0
349, address 349, 39.65, -79.927, 0
350, address 350, 39.651, -79.927, 0
351, address 351, 39.652, -79.927, 0
352, address 352, 39.653, -79.927, 0
353, address 353, 39.654, -79.927, 0
354, address 354, 39.655, -79.927, 0
355, address 355, 39.656, -79.927, 0
356, address 356, 39.657, -79.927, 0
357, address 357, 39.658, -79.927, 0
358, address 358, 39.659, -79.927, 0
359, address 359, 39.66, -79.927, 0
360, address 360, 39.661, -79.927, 0
361, address 361, 39.617, -79.928, 0
362, address 362, 39.618, -79.928, 0
363, address 363, 39.619, -79.928, 0
364, address 364, 39.62, -79.928, 0
365, address 365, 39.621, -79.928, 0
366, address 366, 39.622, -79.928, 0
367, address 367, 39.623, -79.928, 0
368, address 368, 39.624, -79.928, 0
369, address 369, 39.625, -79.928, 0
370, address 370, 39.626, -79.928, 0
371, address 371, 39.627, -79.928, 0
372, address 372, 39.628, -79.928, 0
373, address 373, 39.629, -79.928, 0
374, address 374, 39.63, -79.928, 0
375, address 375, 39.631, -79.928, 0
376, address 376, 39.632, -79.928, 0
377, address 377, 39.633, -79.928, 0
378, address 378, 39.634, -79.928, 0
379, address 379, 39.635, -79.928, 0
380, address 380, 39.636, -79.928, 0
381, address 381, 39.637, -79.928, 0
382, address 382, 39.638, -79.928, 0
383, address 383, 39.639, -79.928, 0
384, address 384, 39.64, -79.928, 0
385, address 385, 39.641, -79.928, 0
386, address 386, 39.642, -79.928, 0
387, address 387, 39.643, -79.928, 0
388, address 388, 39.644, -79.928, 0
389, address 389, 39.645, -79.928, 0
390, address 390, 39.646, -79.928, 0
391, address 391, 39.647, -79.928, 0
392, address 392, 39.648, -79.928, 0
393, address 393, 39.649, -79.928, 0
394, address 394, 39.65, -79.928, 0
395, address 395, 39.651, -79.928, 0
396, address 396, 39.652, -79.928, 0
397, address 397, 39.653, -79.928, 0
398, address 398, 39.654, -79.928, 0
399, address 399, 39.655, -79.928, 0
400, address 400, 39.656, -79.928, 0
401, address 401, 39.657, -79.928, 0
402, address 402, 39.658, -79.928, 0
403, address 403, 39.659, -79.928, 0
404, address 404, 39.66, -79.928, 0
405, address 405, 39.661, -79.928, 0
406, address 406, 39.617, -79.929, 0
407, address 407, 39.618, -79.929, 0
408, address 408, 39.619, -79.929, 0
409, address 409, 39.62, -79.929, 0
410, address 410, 39.621, -79.929, 0
411, address 411, 39.622, -79.929, 0
412, address 412, 39.623, -79.929, 0
413, address 413, 39.624, -79.929, 0
414, address 414, 39.625, -79.929, 0
415, address 415, 39.626, -79.929, 0
416, address 416, 39.627, -79.929, 0
417, address 417, 39.628, -79.929, 0
418, address 418, 39.629, -79.929, 0
419, address 419, 39.63, -79.929, 0
420, address 420, 39.631, -79.929, 0
421, address 421, 39.632, -79.929, 0
422, address 422, 39.633, -79.929, 0
423, address 423, 39.634, -79.929, 0
424, address 424, 39.635, -79.929, 0
425, address 425, 39.636, -79.929, 0
426, address 426, 39.637, -79.929, 0
427, address 427, 39.638, -79.929, 0
428, address 428, 39.639, -79.929, 0
429, address 429, 39.64, -79.929, 0
430, address 430, 39.641, -79.929, 0
431, address 431, 39.642, -79.929, 0
432, address 432, 39.643, -79.929, 0
433, address 433, 39.644, -79.929, 0
434, address 434, 39.645, -79.929, 0
435, address 435, 39.646, -79.929, 0
436, address 436, 39.647, -79.929, 0
437, address 437, 39.648, -79.929, 0
438, address 438, 39.649, -79.929, 0
439, address 439, 39.65, -79.929, 0
440, address 440, 39.651, -79.929, 0
441, address 441, 39.652, -79.929, 0
442, address 442, 39.653, -79.929, 0
443, address 443, 39.654, -79.929, 0
444, address 444, 39.655, -79.929, 0
445, address 445, 39.656, -79.929, 0
446, address 446, 39.657, -79.929, 0
447, address 447, 39.658, -79.929, 0
448, address 448, 39.659, -79.929, 0
449, address 449, 39.66, -79.929, 0
450, address 450, 39.661, -79.929, 0
451, address 451, 39.617, -79.93, 0
452, address 452, 39.618, -79.93, 0
453, address 453, 39.619, -79.93, 0
454, address 454, 39.62, -79.93, 0
455, address 455, 39.621, -79.93, 0
456, address 456, 39.622, -79.93, 0
457, address 457, 39.623, -79.93, 0
458, address 458, 39.624, -79.93, 0
459, address 459, 39.625, -79.93, 0
460, address 460, 39.626, -79.93, 0
461, address 461, 39.627, -79.93, 0
462, address 462, 39.628, -79.93, 0
463, address 463, 39.629, -79.93, 0
464, address 464, 39.63, -79.93, 0
465, address 465, 39.631, -79.93, 0
466, address 466, 39.632, -79.93, 0
467, address 467, 39.633, -79.93, 0
468, address 468, 39.634, -79.93, 0
469, address 469, 39.635, -79.93, 0
470, address 470, 39.636, -79.93, 0
471, address 471, 39.637, -79.93, 0
472, address 472, 39.638, -79.93, 0
473, address 473, 39.639, -79.93, 0
474, address 474, 39.64, -79.93, 0
475, address 475, 39.641, -79.93, 0
476, address 476, 39.642, -79.93, 0
477, address 477, 39.643, -79.93, 0
478, address 478, 39.644, -79.93, 0
479, address 479, 39.645, -79.93, 0
480, address 480, 39.646, -79.93, 0
481, address 481, 39.647, -79.93, 0
482, address 482, 39.648, -79.93, 0
483, address 483, 39.649, -79.93, 0
484, address 484, 39.65, -79.93, 0
485, address 485, 39.651, -79.93, 0
486, address 486, 39.652, -79.93, 0
487, address 487, 39.653, -79.93, 0
488, address 488, 39.654, -79.93, 0
489, address 489, 39.655, -79.93, 0
490, address 490, 39.656, -79.93, 0
491, address 491, 39.657, -79.93, 0
492, address 492, 39.658, -79.93, 0
493, address 493, 39.659, -79.93, 0
494, address 494, 39.66, -79.93, 0
495, address 495, 39.661, -79.93, 0
496, address 496, 39.617, -79.931, 0
497, address 497, 39.618, -79.931, 0
498, address 498, 39.619, -79.931, 0
499, address 499, 39.62, -79.931, 0
500, address 500, 39.621, -79.931, 0
501, address 501, 39.622, -79.931, 0
502, address 502, 39.623, -79.931, 0
503, address 503, 39.624, -79.931, 0
504, address 504, 39.625, -79.931, 0
505, address 505, 39.626, -79.931, 0
506, address 506, 39.627, -79.931, 0
507, address 507, 39.628, -79.931, 0
508, address 508, 39.629, -79.931, 0
509, address 509, 39.63, -79.931, 0
510, address 510, 39.631, -79.931, 0
511, address 511, 39.632, -79.931, 0
512, address 512, 39.633, -79.931, 0
513, address 513, 39.634, -79.931, 0
514, address 514, 39.635, -79.931, 0
515, address 515, 39.636, -79.931, 0
516, address 516, 39.637, -79.931, 0
517, address 517, 39.638, -79.931, 0
518, address 518, 39.639, -79.931, 0
519, address 519, 39.64, -79.931, 0
520, address 520, 39.641, -79.931, 0
521, address 521, 39.642, -79.931, 0
522, address 522, 39.643, -79.931, 0
523, address 523, 39.644, -79.931, 0
524, address 524, 39.645, -79.931, 0
525, address 525, 39.646, -79.931, 0
526, address 526, 39.647, -79.931, 0
527, address 527, 39.648, -79.931, 0
528, address 528, 39.649, -79.931, 0
529, address 529, 39.65, -79.931, 0
530, address 530, 39.651, -79.931, 0
531, address 531, 39.652, -79.931, 0
532, address 532, 39.653, -79.931, 0
533, address 533, 39.654, -79.931, 0
534, address 534, 39.655, -79.931, 0
535, address 535, 39.656, -79.931, 0
536, address 536, 39.657, -79.931, 0
537, address 537, 39.658, -79.931, 0
538, address 538, 39.659, -79.931, 0
539, address 539, 39.66, -79.931, 0
540, address 540, 39.661, -79.931, 0
541, address 541, 39.617, -79.932, 0
542, address 542, 39.618, -79.932, 0
543, address 543, 39.619, -79.932, 0
544, address 544, 39.62, -79.932, 0
545, address 545, 39.621, -79.932, 0
546, address 546, 39.622, -79.932, 0
547, address 547, 39.623, -79.932, 0
548, address 548, 39.624, -79.932, 0
549, address 549, 39.625, -79.932, 0
550, address 550, 39.626, -79.932, 0
551, address 551, 39.627, -79.932, 0
552, address 552, 39.628, -79.932, 0
553, address 553, 39.629, -79.932, 0
554, address 554, 39.63, -79.932, 0
555, address 555, 39.631, -79.932, 0
556, address 556, 39.632, -79.932, 0
557, address 557, 39.633, -79.932, 0
558, address 558, 39.634, -79.932, 0
559, address 559, 39.635, -79.932, 0
560, address 560, 39.636, -79.932, 0
561, address 561, 39.637, -79.932, 0
562, address 562, 39.638, -79.932, 0
563, address 563, 39.639, -79.932, 0
564, address 564, 39.64, -79.932, 0
565, address 565, 39.641, -79.932, 0
566, address 566, 39.642, -79.932, 0
567, address 567, 39.643, -79.932, 0
568, address 568, 39.644, -79.932, 0
569, address 569, 39.645, -79.932, 0
570, address 570, 39.646, -79.932, 0
571, address 571, 39.647, -79.932, 0
572, address 572, 39.648, -79.932, 0
573, address 573, 39.649, -79.932, 0
574, address 574, 39.65, -79.932, 0
575, address 575, 39.651, -79.932, 0
576, address 576, 39.652, -79.932, 0
577, address 577, 39.653, -79.932, 0
578, address 578, 39.654, -79.932, 0
579, address 579, 39.655, -79.932, 0
580, address 580, 39.656, -79.932, 0
581, address 581, 39.657, -79.932, 0
582, address 582, 39.658, -79.932, 0
583, address 583, 39.659, -79.932, 0
584, address 584, 39.66, -79.932, 0
585, address 585, 39.661, -79.932, 0
586, address 586, 39.617, -79.933, 0
587, address 587, 39.618, -79.933, 0
588, address 588, 39.619, -79.933, 0
589, address 589, 39.62, -79.933, 0
590, address 590, 39.621, -79.933, 0
591, address 591, 39.622, -79.933, 0
592, address 592, 39.623, -79.933, 0
593, address 593, 39.624, -79.933, 0
594, address 594, 39.625, -79.933, 0
595, address 595, 39.626, -79.933, 0
596, address 596, 39.627, -79.933, 0
597, address 597, 39.628, -79.933, 0
598, address 598, 39.629, -79.933, 0
599, address 599, 39.63, -79.933, 0
600, address 600, 39.631, -79.933, 0
601, address 601, 39.632, -79.933, 0
602, address 602, 39.633, -79.933, 0
603, address 603, 39.634, -79.933, 0
604, address 604, 39.635, -79.933, 0
605, address 605, 39.636, -79.933, 0
606, address 606, 39.637, -79.933, 0
607, address 607, 39.638, -79.933, 0
608, address 608, 39.639, -79.933, 0
609, address 609, 39.64, -79.933, 0
610, address 610, 39.641, -79.933, 0
611, address 611, 39.642, -79.933, 0
612, address 612, 39.643, -79.933, 0
613, address 613, 39.644, -79.933, 0
614, address 614, 39.645, -79.933, 0
615, address 615, 39.646, -79.933, 0
616, address 616, 39.647, -79.933, 0
617, address 617, 39.648, -79.933, 0
618, address 618, 39.649, -79.933, 0
619, address 619, 39.65, -79.933, 0
620, address 620, 39.651, -79.933, 0
621, address 621, 39.652, -79.933, 0
622, address 622, 39.653, -79.933, 0
623, address 623, 39.654, -79.933, 0
624, address 624, 39.655, -79.933, 0
625, address 625, 39.656, -79.933, 0
626, address 626, 39.657, -79.933, 0
627, address 627, 39.658, -79.933, 0
628, address 628, 39.659, -79.933, 0
629, address 629, 39.66, -79.933, 0
630, address 630, 39.661, -79.933, 0
631, address 631, 39.617, -79.934, 0
632, address 632, 39.618, -79.934, 0
633, address 633, 39.619, -79.934, 0
634, address 634, 39.62, -79.934, 0
635, address 635, 39.621, -79.934, 0
636, address 636, 39.622, -79.934, 0
637, address 637, 39.623, -79.934, 0
638, address 638, 39.624, -79.934, 0
639, address 639, 39.625, -79.934, 0
640, address 640, 39.626, -79.934, 0
641, address 641, 39.627, -79.934, 0
642, address 642, 39.628, -79.934, 0
643, address 643, 39.629, -79.934, 0
644, address 644, 39.63, -79.934, 0
645, address 645, 39.631, -79.934, 0
646, address 646, 39.632, -79.934, 0
647, address 647, 39.633, -79.934, 0
648, address 648, 39.634, -79.934, 0
649, address 649, 39.635, -79.934, 0
650, address 650, 39.636, -79.934, 0
651, address 651, 39.637, -79.934, 0
652, address 652, 39.638, -79.934, 0
653, address 653, 39.639, -79.934, 0
654, address 654, 39.64, -79.934, 0
655, address 655, 39.641, -79.934, 0
656, address 656, 39.642, -79.934, 0
657, address 657, 39.643, -79.934, 0
658, address 658, 39.644, -79.934, 0
659, address 659, 39.645, -79.934, 0
660, address 660, 39.646, -79.934, 0
661, address 661, 39.647, -79.934, 0
662, address 662, 39.648, -79.934, 0
663, address 663, 39.649, -79.934, 0
664, address 664, 39.65, -79.934, 0
665, address 665, 39.651, -79.934, 0
666, address 666, 39.652, -79.934, 0
667, address 667, 39.653, -79.934, 0
668, address 668, 39.654, -79.934, 0
669, address 669, 39.655, -79.934, 0
670, address 670, 39.656, -79.934, 0
671, address 671, 39.657, -79.934, 0
672, address 672, 39.658, -79.934, 0
673, address 673, 39.659, -79.934, 0
674, address 674, 39.66, -79.934, 0
675, address 675, 39.661, -79.934, 0
676, address 676, 39.617, -79.935, 0
677, address 677, 39.618, -79.935, 0
678, address 678, 39.619, -79.935, 0
679, address 679, 39.62, -79.935, 0
680, address 680, 39.621, -79.935, 0
681, address 681, 39.622, -79.935, 0
682, address 682, 39.623, -79.935, 0
683, address 683, 39.624, -79.935, 0
684, address 684, 39.625, -79.935, 0
685, address 685, 39.626, -79.935, 0
686, address 686, 39.627, -79.935, 0
687, address 687, 39.628, -79.935, 0
688, address 688, 39.629, -79.935, 0
689, address 689, 39.63, -79.935, 0
690, address 690, 39.631, -79.935, 0
691, address 691, 39.632, -79.935, 0
692, address 692, 39.633, -79.935, 0
693, address 693, 39.634, -79.935, 0
694, address 694, 39.635, -79.935, 0
695, address 695, 39.636, -79.935, 0
696, address 696, 39.637, -79.935, 0
697, address 697, 39.638, -79.935, 0
698, address 698, 39.639, -79.935, 0
699, address 699, 39.64, -79.935, 0
700, address 700, 39.641, -79.935, 0
701, address 701, 39.642, -79.935, 0
702, address 702, 39.643, -79.935, 0
703, address 703, 39.644, -79.935, 0
704, address 704, 39.645, -79.935, 0
705, address 705, 39.646, -79.935, 0
706, address 706, 39.647, -79.935, 0
707, address 707, 39.648, -79.935, 0
708, address 708, 39.649, -79.935, 0
709, address 709, 39.65, -79.935, 0
710, address 710, 39.651, -79.935, 0
711, address 711, 39.652, -79.935, 0
712, address 712, 39.653, -79.935, 0
713, address 713, 39.654, -79.935, 0
714, address 714, 39.655, -79.935, 0
715, address 715, 39.656, -79.935, 0
716, address 716, 39.657, -79.935, 0
717, address 717, 39.658, -79.935, 0
718, address 718, 39.659, -79.935, 0
719, address 719, 39.66, -79.935, 0
720, address 720, 39.661, -79.935, 0
721, address 721, 39.617, -79.936, 0
722, address 722, 39.618, -79.936, 0
723, address 723, 39.619, -79.936, 0
724, address 724, 39.62, -79.936, 0
725, address 725, 39.621, -79.936, 0
726, address 726, 39.622, -79.936, 0
727, address 727, 39.623, -79.936, 0
728, address 728, 39.624, -79.936, 0
729, address 729, 39.625, -79.936, 0
730, address 730, 39.626, -79.936, 0
731, address 731, 39.627, -79.936, 0
732, address 732, 39.628, -79.936, 0
733, address 733, 39.629, -79.936, 0
734, address 734, 39.63, -79.936, 0
735, address 735, 39.631, -79.936, 0
